Date,AAPL,backtest,backtest_2
2018-08-27,54.48500061,1,0
2018-08-28,54.92499924,1,0
2018-08-29,55.74499893,1,0
2018-08-30,56.25749969,1,0
2018-08-31,56.90750122,1,0
2018-09-04,57.09000015,1,0
2018-09-05,56.71749878,0,0
2018-09-06,55.77500153,0,0
2018-09-07,55.32500076,0,0
2018-09-10,54.58250046,0,0
2018-09-11,55.96250153,1,1
2018-09-12,55.26750183,0,0
2018-09-13,56.60250092,1,1
2018-09-14,55.95999908,0,0
2018-09-17,54.47000122,0,0
2018-09-18,54.56000137,1,1
2018-09-19,54.59249878,1,0
2018-09-20,55.00749969,1,0
2018-09-21,54.41500092,0,0
2018-09-24,55.19749832,1,1
2018-09-25,55.54750061,1,0
2018-09-26,55.10499954,0,0
2018-09-27,56.23749924,1,1
2018-09-28,56.43500137,1,0
2018-10-01,56.81499863,1,0
2018-10-02,57.31999969,1,0
2018-10-03,58.01750183,1,0
2018-10-04,56.99750137,0,0
2018-10-05,56.07249832,0,0
2018-10-08,55.94250107,0,0
2018-10-09,56.71749878,1,1
2018-10-10,54.09000015,0,0
2018-10-11,53.61249924,0,0
2018-10-12,55.52750015,1,1
2018-10-15,54.34000015,0,0
2018-10-16,55.53749847,1,1
2018-10-17,55.29750061,0,0
2018-10-18,54.00500107,0,0
2018-10-19,54.82749939,1,1
2018-10-22,55.16249847,1,0
2018-10-23,55.68249893,1,0
2018-10-24,53.77249908,0,0
2018-10-25,54.95000076,1,1
2018-10-26,54.07500076,0,0
2018-10-29,53.06000137,0,0
2018-10-30,53.32500076,1,1
2018-10-31,54.71500015,1,0
2018-11-01,55.55500031,1,0
2018-11-02,51.86999893,0,0
2018-11-05,50.39749908,0,0
2018-11-06,50.94250107,1,1
2018-11-07,52.48749924,1,0
2018-11-08,52.12250137,0,0
2018-11-09,51.11750031,0,0
2018-11-12,48.54249954,0,0
2018-11-13,48.05749893,0,0
2018-11-14,46.70000076,0,0
2018-11-15,47.85250092,1,1
2018-11-16,48.38249969,1,0
2018-11-19,46.46500015,0,0
2018-11-20,44.24499893,0,0
2018-11-21,44.19499969,0,0
2018-11-23,43.07249832,0,0
2018-11-26,43.65499878,1,1
2018-11-27,43.56000137,0,0
2018-11-28,45.23500061,1,1
2018-11-29,44.88750076,0,0
2018-11-30,44.64500046,0,0
2018-12-03,46.20500183,1,1
2018-12-04,44.17250061,0,0
2018-12-06,43.68000031,0,0
2018-12-07,42.12250137,0,0
2018-12-10,42.40000153,1,1
2018-12-11,42.15750122,0,0
2018-12-12,42.27500153,1,1
2018-12-13,42.73749924,1,0
2018-12-14,41.36999893,0,0
2018-12-17,40.98500061,0,0
2018-12-18,41.51750183,1,1
2018-12-19,40.22249985,0,0
2018-12-20,39.20750046,0,0
2018-12-21,37.68249893,0,0
2018-12-24,36.70750046,0,0
2018-12-26,39.29249954,1,1
2018-12-27,39.03749847,0,0
2018-12-28,39.05749893,1,1
2018-12-31,39.43500137,1,0
2019-01-02,39.47999954,1,0
2019-01-03,35.54750061,0,0
2019-01-04,37.06499863,1,1
2019-01-07,36.98249817,0,0
2019-01-08,37.6875,1,1
2019-01-09,38.32749939,1,0
2019-01-10,38.45000076,1,0
2019-01-11,38.07249832,0,0
2019-01-14,37.5,0,0
2019-01-15,38.26750183,1,1
2019-01-16,38.73500061,1,0
2019-01-17,38.96500015,1,0
2019-01-18,39.20500183,1,0
2019-01-22,38.32500076,0,0
2019-01-23,38.47999954,1,1
2019-01-24,38.17499924,0,0
2019-01-25,39.43999863,1,1
2019-01-28,39.07500076,0,0
2019-01-29,38.66999817,0,0
2019-01-30,41.3125,1,1
2019-01-31,41.61000061,1,0
2019-02-01,41.63000107,1,0
2019-02-04,42.8125,1,0
2019-02-05,43.54499817,1,0
2019-02-06,43.56000137,1,0
2019-02-07,42.73500061,0,0
2019-02-08,42.60250092,0,0
2019-02-11,42.35749817,0,0
2019-02-12,42.72249985,1,1
2019-02-13,42.54499817,0,0
2019-02-14,42.70000076,1,1
2019-02-15,42.60499954,0,0
2019-02-19,42.73249817,1,1
2019-02-20,43.00749969,1,0
2019-02-21,42.76499939,0,0
2019-02-22,43.24250031,1,1
2019-02-25,43.55749893,1,0
2019-02-26,43.58250046,1,0
2019-02-27,43.71749878,1,0
2019-02-28,43.28749847,0,0
2019-03-01,43.74250031,1,1
2019-03-04,43.96250153,1,0
2019-03-05,43.88249969,0,0
2019-03-06,43.63000107,0,0
2019-03-07,43.125,0,0
2019-03-08,43.22750092,1,1
2019-03-11,44.72499847,1,0
2019-03-12,45.22750092,1,0
2019-03-13,45.42750168,1,0
2019-03-14,45.93249893,1,0
2019-03-15,46.52999878,1,0
2019-03-18,47.00500107,1,0
2019-03-19,46.63249969,0,0
2019-03-20,47.04000092,1,1
2019-03-21,48.77249908,1,0
2019-03-22,47.76250076,0,0
2019-03-25,47.18500137,0,0
2019-03-26,46.69749832,0,0
2019-03-27,47.11750031,1,1
2019-03-28,47.18000031,1,0
2019-03-29,47.48749924,1,0
2019-04-01,47.81000137,1,0
2019-04-02,48.50500107,1,0
2019-04-03,48.83750153,1,0
2019-04-04,48.92250061,1,0
2019-04-05,49.25,1,0
2019-04-08,50.02500153,1,0
2019-04-09,49.875,0,0
2019-04-10,50.15499878,1,1
2019-04-11,49.73749924,0,0
2019-04-12,49.71749878,0,0
2019-04-15,49.80749893,1,1
2019-04-16,49.8125,1,0
2019-04-17,50.78250122,1,0
2019-04-18,50.96500015,1,0
2019-04-22,51.13249969,1,0
2019-04-23,51.86999893,1,0
2019-04-24,51.79000092,0,0
2019-04-25,51.31999969,0,0
2019-04-26,51.07500076,0,0
2019-04-29,51.15250015,1,1
2019-04-30,50.16749954,0,0
2019-05-01,52.63000107,1,1
2019-05-02,52.28749847,0,0
2019-05-03,52.9375,1,1
2019-05-06,52.11999893,0,0
2019-05-07,50.71500015,0,0
2019-05-08,50.72499847,1,1
2019-05-09,50.18000031,0,0
2019-05-10,49.29499817,0,0
2019-05-13,46.43000031,0,0
2019-05-14,47.16500092,1,1
2019-05-15,47.72999954,1,0
2019-05-16,47.52000046,0,0
2019-05-17,47.25,0,0
2019-05-20,45.77249908,0,0
2019-05-21,46.65000153,1,1
2019-05-22,45.69499969,0,0
2019-05-23,44.91500092,0,0
2019-05-24,44.74250031,0,0
2019-05-28,44.55749893,0,0
2019-05-29,44.34500122,0,0
2019-05-30,44.57500076,1,1
2019-05-31,43.76750183,0,0
2019-06-03,43.32500076,0,0
2019-06-04,44.90999985,1,1
2019-06-05,45.63499832,1,0
2019-06-06,46.30500031,1,0
2019-06-07,47.53749847,1,0
2019-06-10,48.14500046,1,0
2019-06-11,48.70249939,1,0
2019-06-12,48.54750061,0,0
2019-06-13,48.53749847,0,0
2019-06-14,48.18500137,0,0
2019-06-17,48.47249985,1,1
2019-06-18,49.61249924,1,0
2019-06-19,49.46749878,0,0
2019-06-20,49.86500168,1,1
2019-06-21,49.69499969,0,0
2019-06-24,49.64500046,0,0
2019-06-25,48.89250183,0,0
2019-06-26,49.95000076,1,1
2019-06-27,49.93500137,0,0
2019-06-28,49.47999954,0,0
2019-07-01,50.38750076,1,1
2019-07-02,50.68249893,1,0
2019-07-03,51.10250092,1,0
2019-07-05,51.05749893,0,0
2019-07-08,50.00500107,0,0
2019-07-09,50.31000137,1,1
2019-07-10,50.80749893,1,0
2019-07-11,50.4375,0,0
2019-07-12,50.82500076,1,1
2019-07-15,51.30250168,1,0
2019-07-16,51.125,0,0
2019-07-17,50.83750153,0,0
2019-07-18,51.41500092,1,1
2019-07-19,50.64749908,0,0
2019-07-22,51.80500031,1,1
2019-07-23,52.20999908,1,0
2019-07-24,52.16749954,0,0
2019-07-25,51.75500107,0,0
2019-07-26,51.93500137,1,1
2019-07-29,52.41999817,1,0
2019-07-30,52.19499969,0,0
2019-07-31,53.25999832,1,1
2019-08-01,52.10749817,0,0
2019-08-02,51.00500107,0,0
2019-08-05,48.33499908,0,0
2019-08-06,49.25,1,1
2019-08-07,49.75999832,1,0
2019-08-08,50.85749817,1,0
2019-08-09,50.24750137,0,0
2019-08-12,50.11999893,0,0
2019-08-13,52.24250031,1,1
2019-08-14,50.6875,0,0
2019-08-15,50.43500137,0,0
2019-08-16,51.625,1,1
2019-08-19,52.58750153,1,0
2019-08-20,52.59000015,1,0
2019-08-21,53.15999985,1,0
2019-08-22,53.11500168,0,0
2019-08-23,50.65999985,0,0
2019-08-26,51.62250137,1,1
2019-08-27,51.04000092,0,0
2019-08-28,51.38249969,1,1
2019-08-29,52.25249863,1,0
2019-08-30,52.18500137,0,0
2019-09-03,51.42499924,0,0
2019-09-04,52.29750061,1,1
2019-09-05,53.31999969,1,0
2019-09-06,53.31499863,0,0
2019-09-09,53.54249954,1,1
2019-09-10,54.17499924,1,0
2019-09-11,55.89749908,1,0
2019-09-12,55.77249908,0,0
2019-09-13,54.6875,0,0
2019-09-16,54.97499847,1,1
2019-09-17,55.17499924,1,0
2019-09-18,55.69250107,1,0
