timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,SMA 20,SMA 10,EMA 20,EMA 10,Real Lower Band 20,Real Upper Band 20,Real Middle Band 20,MACD 20,MACD_Signal 20,MACD_Hist 20,RSI 20
2018-01-02,170.16,172.3,169.26,172.26,41.3082681031,25048048,0.0,1.0,41.2344,41.4634,41.2305,41.2314,40.1611,42.3077,41.2344,0.102,0.2236,-0.1216,53.4694
2018-01-03,172.53,174.55,171.96,172.23,41.3010740473,28819653,0.0,1.0,41.2635,41.3629,41.2372,41.244,40.2165,42.3106,41.2635,0.0986,0.1986,-0.1,53.4088
2018-01-04,172.54,173.47,172.08,173.03,41.4929155339,22211345,0.0,1.0,41.3042,41.3267,41.2616,41.2893,40.2883,42.3201,41.3042,0.11,0.1809,-0.0709,54.8452
2018-01-05,173.44,175.37,173.05,175.0,41.9653251947,23016177,0.0,1.0,41.376,41.3423,41.3286,41.4122,40.3868,42.3653,41.376,0.1554,0.1758,-0.0204,58.1866
2018-01-08,174.35,175.61,173.93,174.35,41.8094539868,20134092,0.0,1.0,41.4363,41.3265,41.3744,41.4844,40.4971,42.3756,41.4363,0.1768,0.176,0.0008,56.7286
2018-01-09,174.55,175.06,173.41,174.33,41.8046579497,21262614,0.0,1.0,41.4958,41.3102,41.4154,41.5427,40.6238,42.3678,41.4958,0.1911,0.179,0.0121,56.6826
2018-01-10,173.16,174.3,173.0,174.29,41.7950658753,23589129,0.0,1.0,41.5152,41.3994,41.4515,41.5885,40.6348,42.3957,41.5152,0.1994,0.1831,0.0163,56.586
2018-01-11,174.59,175.49,174.49,175.28,42.032469715,17523256,0.0,1.0,41.5581,41.5116,41.5069,41.6693,40.6648,42.4515,41.5581,0.2225,0.191,0.0316,58.4317
2018-01-12,176.18,177.36,175.65,177.09,42.4665110785,25039531,0.0,1.0,41.6159,41.6557,41.5983,41.8142,40.6477,42.5842,41.6159,0.2728,0.2073,0.0655,61.5755
2018-01-16,177.9,179.39,176.14,176.19,42.250689406,29159005,0.0,1.0,41.6635,41.8226,41.6604,41.8936,40.6691,42.6579,41.6635,0.2918,0.2242,0.0676,59.2308
