ds,y
2016-12-14,28.8
2016-12-15,28.96
2016-12-16,28.99
2016-12-19,29.16
2016-12-20,29.24
2016-12-21,29.27
2016-12-22,29.07
2016-12-23,29.13
2016-12-27,29.32
2016-12-28,29.19
2016-12-29,29.18
2016-12-30,28.96
2017-01-03,29.04
2017-01-04,29.01
2017-01-05,29.15
2017-01-06,29.48
2017-01-09,29.75
2017-01-10,29.78
2017-01-11,29.94
2017-01-12,29.81
2017-01-13,29.76
2017-01-17,30
2017-01-18,30
2017-01-19,29.95
2017-01-20,30
2017-01-23,30.02
2017-01-24,29.99
2017-01-25,30.47
2017-01-26,30.49
2017-01-27,30.49
2017-01-30,30.41
2017-01-31,30.34
2017-02-01,32.19
2017-02-02,32.13
2017-02-03,32.27
2017-02-06,32.57
2017-02-07,32.88
2017-02-08,33.01
2017-02-09,33.1
2017-02-10,33.03
2017-02-13,33.32
2017-02-14,33.76
2017-02-15,33.88
2017-02-16,33.84
2017-02-17,33.93
2017-02-21,34.17
2017-02-22,34.28
2017-02-23,34.13
2017-02-24,34.17
2017-02-27,34.23
2017-02-28,34.25
2017-03-01,34.95
2017-03-02,34.74
2017-03-03,34.95
2017-03-06,34.84
2017-03-07,34.88
2017-03-08,34.75
2017-03-09,34.67
2017-03-10,34.78
2017-03-13,34.8
2017-03-14,34.75
2017-03-15,35.12
2017-03-16,35.17
2017-03-17,35
2017-03-20,35.37
2017-03-21,34.96
2017-03-22,35.35
2017-03-23,35.23
2017-03-24,35.16
2017-03-27,35.22
2017-03-28,35.95
2017-03-29,36.03
2017-03-30,35.98
2017-03-31,35.92
2017-04-03,35.92
2017-04-04,36.19
2017-04-05,36.01
2017-04-06,35.92
2017-04-07,35.84
2017-04-10,35.79
2017-04-11,35.41
2017-04-12,35.45
2017-04-13,35.26
2017-04-17,35.46
2017-04-18,35.3
2017-04-19,35.17
2017-04-20,35.61
2017-04-21,35.57
2017-04-24,35.91
2017-04-25,36.13
2017-04-26,35.92
2017-04-27,35.95
2017-04-28,35.91
2017-05-01,36.65
2017-05-02,36.88
2017-05-03,36.77
2017-05-04,36.63
2017-05-05,37.24
2017-05-08,38.25
2017-05-09,38.5
2017-05-10,38.32
2017-05-11,38.49
2017-05-12,39.03
2017-05-15,38.92
2017-05-16,38.87
2017-05-17,37.56
2017-05-18,38.14
2017-05-19,38.27
2017-05-22,38.5
2017-05-23,38.45
2017-05-24,38.34
2017-05-25,38.47
2017-05-26,38.4
2017-05-30,38.42
2017-05-31,38.19
2017-06-01,38.3
2017-06-02,38.86
2017-06-05,38.48
2017-06-06,38.61
2017-06-07,38.84
2017-06-08,38.75
2017-06-09,37.24
2017-06-12,36.35
2017-06-13,36.65
2017-06-14,36.29
2017-06-15,36.07
2017-06-16,35.57
2017-06-19,36.59
2017-06-20,36.25
2017-06-21,36.47
2017-06-22,36.41
2017-06-23,36.57
2017-06-26,36.46
2017-06-27,35.93
2017-06-28,36.46
2017-06-29,35.92
2017-06-30,36.01
2017-07-03,35.88
2017-07-05,36.02
2017-07-06,35.68
2017-07-07,36.05
2017-07-10,36.27
2017-07-11,36.38
2017-07-12,36.44
2017-07-13,36.94
2017-07-14,37.26
2017-07-17,37.39
2017-07-18,37.52
2017-07-19,37.76
2017-07-20,37.59
2017-07-21,37.57
2017-07-24,38.02
2017-07-25,38.19
2017-07-26,38.37
2017-07-27,37.64
2017-07-28,37.38
2017-07-31,37.18
2017-08-01,37.51
2017-08-02,39.28
2017-08-03,38.89
2017-08-04,39.1
2017-08-07,39.7
2017-08-08,40.02
2017-08-09,40.27
2017-08-10,38.83
2017-08-11,39.37
2017-08-14,39.96
2017-08-15,40.4
2017-08-16,40.24
2017-08-17,39.47
2017-08-18,39.38
2017-08-21,39.3
2017-08-22,39.95
2017-08-23,39.99
2017-08-24,39.82
2017-08-25,39.97
2017-08-28,40.37
2017-08-29,40.73
2017-08-30,40.84
2017-08-31,41
2017-09-01,41.01
2017-09-05,40.52
2017-09-06,40.48
2017-09-07,40.32
2017-09-08,39.66
2017-09-11,40.38
2017-09-12,40.22
2017-09-13,39.91
2017-09-14,39.57
2017-09-15,39.97
2017-09-18,39.67
2017-09-19,39.68
2017-09-20,39.02
2017-09-21,38.35
2017-09-22,37.97
2017-09-25,37.64
2017-09-26,38.28
2017-09-27,38.56
2017-09-28,38.32
2017-09-29,38.53
2017-10-02,38.45
2017-10-03,38.62
2017-10-04,38.37
2017-10-05,38.85
2017-10-06,38.83
2017-10-09,38.96
2017-10-10,38.98
2017-10-11,39.14
2017-10-12,39
2017-10-13,39.25
2017-10-16,39.97
2017-10-17,40.12
2017-10-18,39.94
2017-10-19,38.99
2017-10-20,39.06
2017-10-23,39.04
2017-10-24,39.28
2017-10-25,39.1
2017-10-26,39.35
2017-10-27,40.76
2017-10-30,41.68
2017-10-31,42.26
2017-11-01,41.72
2017-11-02,42.03
2017-11-03,43.13
2017-11-06,43.56
2017-11-07,43.7
2017-11-08,44.06
2017-11-09,43.97
2017-11-10,43.67
2017-11-13,43.49
2017-11-14,42.84
2017-11-15,42.27
2017-11-16,42.78
2017-11-17,42.54
2017-11-20,42.5
2017-11-21,43.29
2017-11-22,43.74
2017-11-24,43.74
2017-11-27,43.52
2017-11-28,43.27
2017-11-29,42.37
2017-11-30,42.96
2017-12-01,42.76
2017-12-04,42.45
2017-12-05,42.41
2017-12-06,42.25
2017-12-07,42.33
2017-12-08,42.34
2017-12-11,43.17
2017-12-12,42.93
2017-12-13,43.07
2017-12-14,43.06
2017-12-15,43.49
2017-12-18,44.11
2017-12-19,43.64
2017-12-20,43.59
2017-12-21,43.75
2017-12-22,43.75
2017-12-26,42.64
2017-12-27,42.65
2017-12-28,42.77
2017-12-29,42.31
2018-01-02,43.07
2018-01-03,43.06
2018-01-04,43.26
2018-01-05,43.75
2018-01-08,43.59
2018-01-09,43.58
2018-01-10,43.57
2018-01-11,43.82
2018-01-12,44.27
2018-01-16,44.05
2018-01-17,44.78
2018-01-18,44.82
2018-01-19,44.62
2018-01-22,44.25
2018-01-23,44.26
2018-01-24,43.56
2018-01-25,42.78
2018-01-26,42.88
2018-01-29,41.99
2018-01-30,41.74
2018-01-31,41.86
2018-02-01,41.95
2018-02-02,40.13
2018-02-05,39.12
2018-02-06,40.76
2018-02-07,39.89
2018-02-08,38.79
2018-02-09,39.1
2018-02-12,40.68
2018-02-13,41.09
2018-02-14,41.84
2018-02-15,43.25
2018-02-16,43.11
2018-02-20,42.96
2018-02-21,42.77
2018-02-22,43.13
2018-02-23,43.88
2018-02-26,44.74
2018-02-27,44.6
2018-02-28,44.53
2018-03-01,43.75
2018-03-02,44.05
2018-03-05,44.21
2018-03-06,44.17
2018-03-07,43.76
2018-03-08,44.24
2018-03-09,45
2018-03-12,45.43
2018-03-13,44.99
2018-03-14,44.61
2018-03-15,44.66
2018-03-16,44.51
2018-03-19,43.83
2018-03-20,43.81
2018-03-21,42.82
2018-03-22,42.21
2018-03-23,41.24
2018-03-26,43.19
2018-03-27,42.09
2018-03-28,41.62
2018-03-29,41.95
2018-04-02,41.67
2018-04-03,42.1
2018-04-04,42.9
2018-04-05,43.2
2018-04-06,42.1
2018-04-09,42.51
2018-04-10,43.31
2018-04-11,43.11
2018-04-12,43.54
2018-04-13,43.68
2018-04-16,43.96
2018-04-17,44.56
2018-04-18,44.46
2018-04-19,43.2
2018-04-20,41.43
2018-04-23,41.31
2018-04-24,40.74
2018-04-25,40.91
2018-04-26,41.06
2018-04-27,40.58
2018-04-30,41.32
2018-05-01,42.28
2018-05-02,44.14
2018-05-03,44.22
2018-05-04,45.96
2018-05-07,46.29
2018-05-08,46.51
2018-05-09,46.84
2018-05-10,47.51
2018-05-11,47.15
2018-05-14,47.04
2018-05-15,46.61
2018-05-16,47.05
2018-05-17,46.75
2018-05-18,46.58
2018-05-21,46.91
2018-05-22,46.79
2018-05-23,47.09
2018-05-24,47.04
2018-05-25,47.15
2018-05-29,46.98
2018-05-30,46.88
2018-05-31,46.72
2018-06-01,47.56
2018-06-04,47.96
2018-06-05,48.33
2018-06-06,48.5
2018-06-07,48.37
2018-06-08,47.93
2018-06-11,47.81
2018-06-12,48.07
2018-06-13,47.68
2018-06-14,47.7
2018-06-15,47.21
2018-06-18,47.19
2018-06-19,46.42
2018-06-20,46.63
2018-06-21,46.37
2018-06-22,46.23
2018-06-25,45.54
2018-06-26,46.11
2018-06-27,46.04
2018-06-28,46.38
2018-06-29,46.28
2018-07-02,46.8
2018-07-03,45.98
2018-07-05,46.35
2018-07-06,46.99
2018-07-09,47.65
2018-07-10,47.59
2018-07-11,46.97
2018-07-12,47.76
2018-07-13,47.83
2018-07-16,47.73
2018-07-17,47.86
2018-07-18,47.6
2018-07-19,47.97
2018-07-20,47.86
2018-07-23,47.86
2018-07-24,48.25
2018-07-25,48.71
2018-07-26,48.55
2018-07-27,47.75
2018-07-30,47.48
2018-07-31,47.57
2018-08-01,50.38
2018-08-02,51.85
2018-08-03,52
2018-08-06,52.27
2018-08-07,51.78
2018-08-08,51.81
2018-08-09,52.22
2018-08-10,51.88
2018-08-13,52.22
2018-08-14,52.44
2018-08-15,52.56
2018-08-16,53.33
2018-08-17,54.4
2018-08-20,53.87
2018-08-21,53.76
2018-08-22,53.76
2018-08-23,53.87
2018-08-24,54.04
2018-08-27,54.49
2018-08-28,54.93
2018-08-29,55.75
2018-08-30,56.26
2018-08-31,56.91
2018-09-04,57.09
2018-09-05,56.72
2018-09-06,55.78
2018-09-07,55.33
2018-09-10,54.58
2018-09-11,55.96
2018-09-12,55.27
2018-09-13,56.6
2018-09-14,55.96
2018-09-17,54.47
2018-09-18,54.56
2018-09-19,54.59
2018-09-20,55.01
2018-09-21,54.42
2018-09-24,55.2
2018-09-25,55.55
2018-09-26,55.11
2018-09-27,56.24
2018-09-28,56.44
2018-10-01,56.82
2018-10-02,57.32
2018-10-03,58.02
2018-10-04,57
2018-10-05,56.07
2018-10-08,55.94
2018-10-09,56.72
2018-10-10,54.09
2018-10-11,53.61
2018-10-12,55.53
2018-10-15,54.34
2018-10-16,55.54
2018-10-17,55.3
2018-10-18,54.01
2018-10-19,54.83
2018-10-22,55.16
2018-10-23,55.68
2018-10-24,53.77
2018-10-25,54.95
2018-10-26,54.08
2018-10-29,53.06
2018-10-30,53.33
2018-10-31,54.72
2018-11-01,55.56
2018-11-02,51.87
2018-11-05,50.4
2018-11-06,50.94
2018-11-07,52.49
2018-11-08,52.12
2018-11-09,51.12
2018-11-12,48.54
2018-11-13,48.06
2018-11-14,46.7
2018-11-15,47.85
2018-11-16,48.38
2018-11-19,46.47
2018-11-20,44.25
2018-11-21,44.2
2018-11-23,43.07
2018-11-26,43.66
2018-11-27,43.56
2018-11-28,45.24
2018-11-29,44.89
2018-11-30,44.65
2018-12-03,46.21
2018-12-04,44.17
2018-12-06,43.68
2018-12-07,42.12
2018-12-10,42.4
2018-12-11,42.16
2018-12-12,42.28
2018-12-13,42.74
2018-12-14,41.37
2018-12-17,40.99
2018-12-18,41.52
2018-12-19,40.22
2018-12-20,39.21
2018-12-21,37.68
2018-12-24,36.71
2018-12-26,39.29
2018-12-27,39.04
2018-12-28,39.06
2018-12-31,39.44
2019-01-02,39.48
2019-01-03,35.55
2019-01-04,37.07
2019-01-07,36.98
2019-01-08,37.69
2019-01-09,38.33
2019-01-10,38.45
2019-01-11,38.07
2019-01-14,37.5
2019-01-15,38.27
2019-01-16,38.74
2019-01-17,38.97
2019-01-18,39.21
2019-01-22,38.33
2019-01-23,38.48
2019-01-24,38.17
2019-01-25,39.44
2019-01-28,39.08
2019-01-29,38.67
2019-01-30,41.31
2019-01-31,41.61
2019-02-01,41.63
2019-02-04,42.81
2019-02-05,43.55
2019-02-06,43.56
2019-02-07,42.74
2019-02-08,42.6
2019-02-11,42.36
2019-02-12,42.72
2019-02-13,42.55
2019-02-14,42.7
2019-02-15,42.61
2019-02-19,42.73
2019-02-20,43.01
2019-02-21,42.77
2019-02-22,43.24
2019-02-25,43.56
2019-02-26,43.58
2019-02-27,43.72
2019-02-28,43.29
2019-03-01,43.74
2019-03-04,43.96
2019-03-05,43.88
2019-03-06,43.63
2019-03-07,43.13
2019-03-08,43.23
2019-03-11,44.73
2019-03-12,45.23
2019-03-13,45.43
2019-03-14,45.93
2019-03-15,46.53
2019-03-18,47.01
2019-03-19,46.63
2019-03-20,47.04
2019-03-21,48.77
2019-03-22,47.76
2019-03-25,47.19
2019-03-26,46.7
2019-03-27,47.12
2019-03-28,47.18
2019-03-29,47.49
2019-04-01,47.81
2019-04-02,48.51
2019-04-03,48.84
2019-04-04,48.92
2019-04-05,49.25
2019-04-08,50.03
2019-04-09,49.88
2019-04-10,50.16
2019-04-11,49.74
2019-04-12,49.72
2019-04-15,49.81
2019-04-16,49.81
2019-04-17,50.78
2019-04-18,50.97
2019-04-22,51.13
2019-04-23,51.87
2019-04-24,51.79
2019-04-25,51.32
2019-04-26,51.08
2019-04-29,51.15
2019-04-30,50.17
2019-05-01,52.63
2019-05-02,52.29
2019-05-03,52.94
2019-05-06,52.12
2019-05-07,50.72
2019-05-08,50.73
2019-05-09,50.18
2019-05-10,49.3
2019-05-13,46.43
2019-05-14,47.17
2019-05-15,47.73
2019-05-16,47.52
2019-05-17,47.25
2019-05-20,45.77
2019-05-21,46.65
2019-05-22,45.7
2019-05-23,44.92
2019-05-24,44.74
2019-05-28,44.56
2019-05-29,44.35
2019-05-30,44.58
2019-05-31,43.77
2019-06-03,43.33
2019-06-04,44.91
2019-06-05,45.64
2019-06-06,46.31
2019-06-07,47.54
2019-06-10,48.15
2019-06-11,48.7
2019-06-12,48.55
2019-06-13,48.54
2019-06-14,48.19
2019-06-17,48.47
2019-06-18,49.61
2019-06-19,49.47
2019-06-20,49.87
2019-06-21,49.7
2019-06-24,49.65
2019-06-25,48.89
2019-06-26,49.95
2019-06-27,49.94
2019-06-28,49.48
2019-07-01,50.39
2019-07-02,50.68
2019-07-03,51.1
2019-07-05,51.06
2019-07-08,50.01
2019-07-09,50.31
2019-07-10,50.81
2019-07-11,50.44
2019-07-12,50.83
2019-07-15,51.3
2019-07-16,51.13
2019-07-17,50.84
2019-07-18,51.42
2019-07-19,50.65
2019-07-22,51.81
2019-07-23,52.21
2019-07-24,52.17
2019-07-25,51.76
2019-07-26,51.94
2019-07-29,52.42
2019-07-30,52.2
2019-07-31,53.26
2019-08-01,52.11
2019-08-02,51.01
2019-08-05,48.34
2019-08-06,49.25
2019-08-07,49.76
2019-08-08,50.86
2019-08-09,50.25
2019-08-12,50.12
2019-08-13,52.24
2019-08-14,50.69
2019-08-15,50.44
2019-08-16,51.63
2019-08-19,52.59
2019-08-20,52.59
2019-08-21,53.16
2019-08-22,53.12
2019-08-23,50.66
2019-08-26,51.62
2019-08-27,51.04
2019-08-28,51.38
2019-08-29,52.25
2019-08-30,52.19
2019-09-03,51.43
2019-09-04,52.3
2019-09-05,53.32
2019-09-06,53.32
2019-09-09,53.54
2019-09-10,54.18
2019-09-11,55.9
2019-09-12,55.77
2019-09-13,54.69
2019-09-16,54.98
2019-09-17,55.18
2019-09-18,55.69
2019-09-19,55.24
2019-09-20,54.43
2019-09-23,54.68
2019-09-24,54.42
2019-09-25,55.26
2019-09-26,54.97
2019-09-27,54.71
2019-09-30,55.99
2019-10-01,56.15
2019-10-02,54.74
2019-10-03,55.21
2019-10-04,56.75
2019-10-07,56.77
2019-10-08,56.1
2019-10-09,56.76
2019-10-10,57.52
2019-10-11,59.05
2019-10-14,58.97
2019-10-15,58.83
2019-10-16,58.59
2019-10-17,58.82
2019-10-18,59.1
2019-10-21,60.13
2019-10-22,59.99
2019-10-23,60.8
2019-10-24,60.9
2019-10-25,61.65
2019-10-28,62.26
2019-10-29,60.82
2019-10-30,60.82
2019-10-31,62.19
2019-11-01,63.96
2019-11-04,64.38
2019-11-05,64.28
2019-11-06,64.31
2019-11-07,64.86
2019-11-08,65.04
2019-11-11,65.55
2019-11-12,65.49
2019-11-13,66.12
2019-11-14,65.66
2019-11-15,66.44
2019-11-18,66.78
2019-11-19,66.57
2019-11-20,65.8
2019-11-21,65.5
2019-11-22,65.44
2019-11-25,66.59
2019-11-26,66.07
2019-11-27,66.96
2019-11-29,66.81
2019-12-02,66.04
2019-12-03,64.86
2019-12-04,65.44
2019-12-05,66.4
2019-12-06,67.68
2019-12-09,66.73
2019-12-10,67.12
2019-12-11,67.69
2019-12-12,67.86
2019-12-13,68.79
2019-12-16,69.97
2019-12-17,70.1
2019-12-18,69.94
2019-12-19,70.01
2019-12-20,69.86
2019-12-23,71
2019-12-24,71.07
2019-12-26,72.48
2019-12-27,72.45
2019-12-30,72.88
2019-12-31,73.41
2020-01-02,75.09
2020-01-03,74.36
2020-01-06,74.95
2020-01-07,74.6
2020-01-08,75.8
2020-01-09,77.41
2020-01-10,77.58
2020-01-13,79.24
2020-01-14,78.17
2020-01-15,77.83
2020-01-16,78.81
2020-01-17,79.68
2020-01-21,79.14
2020-01-22,79.43
2020-01-23,79.81
2020-01-24,79.58
